filename,imageurl,name,,firstlast,fullname,lastname,firstname,middle,
Chen_Yimin_____2229609112020001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Chen_Yimin_____2229609112020001851.jpg,Chen_Yimin,2229609112020001851.jpg,Yimin Chen,Yimin Chen,Chen,Yimin,,
Cheng_I_Francis_____2211030232650001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cheng_I_Francis_____2211030232650001851.jpg,Cheng_I_Francis,2211030232650001851.jpg,I Cheng,ICheng,Cheng,I,Francis,
Cheng_Ming_Hsun_____2237095070040001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cheng_Ming_Hsun_____2237095070040001851.jpg,Cheng_Ming_Hsun,2237095070040001851.jpg,Ming Cheng,MingCheng,Cheng,Ming,Hsun,
Chibisa_Gwinyai_____2215300483350001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Chibisa_Gwinyai_____2215300483350001851.jpg,Chibisa_Gwinyai,2215300483350001851.jpg,Gwinyai Chibisa,Gwinyai Chibisa,Chibisa,Gwinyai,,
Chopin_Marc_____2218980914700001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Chopin_Marc_____2218980914700001851.jpg,Chopin_Marc,2218980914700001851.jpg,Marc Chopin,Marc Chopin,Chopin,Marc,,
Christensen_Lauren_____2232273662380001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Christensen_Lauren_____2232273662380001851.jpg,Christensen_Lauren,2232273662380001851.jpg,Lauren Christensen,Lauren Christensen,Christensen,Lauren,,
Chung_Yun_____2210811985610001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Chung_Yun_____2210811985610001851.jpg,Chung_Yun,2210811985610001851.jpg,Yun Chung,Yun Chung,Chung,Yun,,
Cieslik-Miskimen_Caitlin_____2229609112170001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cieslik-Miskimen_Caitlin_____2229609112170001851.jpg,Cieslik-Miskimen_Caitlin,2229609112170001851.jpg,Caitlin Cieslik-Miskimen,Caitlin Cieslik-Miskimen,Cieslik-Miskimen,Caitlin,,
Cleve_Moritz_____2237088129310001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cleve_Moritz_____2237088129310001851.jpg,Cleve_Moritz,2237088129310001851.jpg,Moritz Cleve,Moritz Cleve,Cleve,Moritz,,
Cleveley_Brian_____2210818732900001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cleveley_Brian_____2210818732900001851.jpg,Cleveley_Brian,2210818732900001851.jpg,Brian Cleveley,Brian Cleveley,Cleveley,Brian,,
Coats_Erik_R_____2210811833730001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Coats_Erik_R_____2210811833730001851.jpg,Coats_Erik_R,2210811833730001851.jpg,Erik Coats,ErikCoats,Coats,Erik,R,
Cohen_Rajal_G_____2210813367030001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cohen_Rajal_G_____2210813367030001851.jpg,Cohen_Rajal_G,2210813367030001851.jpg,Rajal Cohen,RajalCohen,Cohen,Rajal,G,
Cole_Douglas_____2211029718030001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cole_Douglas_____2211029718030001851.jpg,Cole_Douglas,2211029718030001851.jpg,Douglas Cole,Douglas Cole,Cole,Douglas,,
Coleman_Mark_D_____2210812097650001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Coleman_Mark_D_____2210812097650001851.jpg,Coleman_Mark_D,2210812097650001851.jpg,Mark Coleman,MarkColeman,Coleman,Mark,D,
Colle_Michael_J_____2210813009160001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Colle_Michael_J_____2210813009160001851.jpg,Colle_Michael_J,2210813009160001851.jpg,Michael Colle,MichaelColle,Colle,Michael,J,
Collier_Robert_J_____2229831242980001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Collier_Robert_J_____2229831242980001851.jpg,Collier_Robert_J,2229831242980001851.jpg,Robert Collier,RobertCollier,Collier,Robert,J,
Conlon_Khan_Lori_____2223811659160001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Conlon_Khan_Lori_____2223811659160001851.jpg,Conlon_Khan_Lori,2223811659160001851.jpg,Khan Conlon,KhanConlon,Conlon,Khan,Lori,
Conte_de_Leon_Daniel_____2210813687900001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Conte_de_Leon_Daniel_____2210813687900001851.jpg,Conte_de_Leon_Daniel,2210813687900001851.jpg,Daniel Conte de Leon,Daniel Conte de Leon,Conte de Leon,Daniel,,
Conway_Courtney_J_____2210813713000001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Conway_Courtney_J_____2210813713000001851.jpg,Conway_Courtney_J,2210813713000001851.jpg,Courtney Conway,CourtneyConway,Conway,Courtney,J,
Cook_Stephen_P_____2210811620610001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cook_Stephen_P_____2210811620610001851.jpg,Cook_Stephen_P,2210811620610001851.jpg,Stephen Cook,StephenCook,Cook,Stephen,P,
Copeland_Shawn_____2211620437720001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Copeland_Shawn_____2211620437720001851.jpg,Copeland_Shawn,2211620437720001851.jpg,Shawn Copeland,Shawn Copeland,Copeland,Shawn,,
Cordon_Dan_____2211029375190001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cordon_Dan_____2211029375190001851.jpg,Cordon_Dan,2211029375190001851.jpg,Dan Cordon,Dan Cordon,Cordon,Dan,,
Cosdon_Courtney_Anne_____2211028385290001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cosdon_Courtney_Anne_____2211028385290001851.jpg,Cosdon_Courtney_Anne,2211028385290001851.jpg,Courtney Cosdon,CourtneyCosdon,Cosdon,Courtney,Anne,
Couture_Wendy_Gerwick_____2210812188870001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Couture_Wendy_Gerwick_____2210812188870001851.jpg,Couture_Wendy_Gerwick,2210812188870001851.jpg,Wendy Couture,WendyCouture,Couture,Wendy,Gerwick,
Cover_Benjamin_P_____2211618275230001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cover_Benjamin_P_____2211618275230001851.jpg,Cover_Benjamin_P,2211618275230001851.jpg,Benjamin Cover,BenjaminCover,Cover,Benjamin,P,
Craig_Traci_Y_____2210811689570001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Craig_Traci_Y_____2210811689570001851.jpg,Craig_Traci_Y,2210811689570001851.jpg,Traci Craig,TraciCraig,Craig,Traci,Y,
Crepeau_John_____2210812418620001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Crepeau_John_____2210812418620001851.jpg,Crepeau_John,2210812418620001851.jpg,John Crepeau,John Crepeau,Crepeau,John,,
Cross_Jeff_____2237095062980001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Cross_Jeff_____2237095062980001851.jpg,Cross_Jeff,2237095062980001851.jpg,Jeff Cross,Jeff Cross,Cross,Jeff,,
Dainoff_Charles_____2223870788890001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dainoff_Charles_____2223870788890001851.jpg,Dainoff_Charles,2223870788890001851.jpg,Charles Dainoff,Charles Dainoff,Dainoff,Charles,,
Dalton_Joseph_C_____2210811723230001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dalton_Joseph_C_____2210811723230001851.jpg,Dalton_Joseph_C,2210811723230001851.jpg,Joseph Dalton,JosephDalton,Dalton,Joseph,C,
Damman_Erin_____2223811601050001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Damman_Erin_____2223811601050001851.jpg,Damman_Erin,2223811601050001851.jpg,Erin Damman,Erin Damman,Damman,Erin,,
Dandurand_Louise-Marie_C_____2211157113990001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dandurand_Louise-Marie_C_____2211157113990001851.jpg,Dandurand_Louise-Marie_C,2211157113990001851.jpg,Louise-Marie Dandurand,Louise-MarieDandurand,Dandurand,Louise-Marie,C,
Darragh_Janine_J_____2210813694220001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Darragh_Janine_J_____2210813694220001851.jpg,Darragh_Janine_J,2210813694220001851.jpg,Janine Darragh,JanineDarragh,Darragh,Janine,J,
Datta_Somantika_____2210812659360001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Datta_Somantika_____2210812659360001851.jpg,Datta_Somantika,2210812659360001851.jpg,Somantika Datta,Somantika Datta,Datta,Somantika,,
Davidson_Neil_Roland_____2229511973910001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Davidson_Neil_Roland_____2229511973910001851.jpg,Davidson_Neil_Roland,2229511973910001851.jpg,Neil Davidson,NeilDavidson,Davidson,Neil,Roland,
de_Almeida_Teixeira_Gustavo_Henrique_____2235529105710001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/de_Almeida_Teixeira_Gustavo_Henrique_____2235529105710001851.jpg,de_Almeida_Teixeira_Gustavo_Henrique,2235529105710001851.jpg,Gustavo Henrique de Almeida Teixeira,Gustavo Henrique de Almeida Teixeira,Teixeira,Gustavo Henrique de Almeida,,
De_Silva_Tharique_Mohantha_____2232182410010001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/De_Silva_Tharique_Mohantha_____2232182410010001851.jpg,De_Silva_Tharique_Mohantha,2232182410010001851.jpg,Tharique De Silva,Tharique De Silva,De Silva,Tharique,,
Dennis_Brian_____2210818758750001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dennis_Brian_____2210818758750001851.jpg,Dennis_Brian,2210818758750001851.jpg,Brian Dennis,Brian Dennis,Dennis,Brian,,
Derrick_Jamie_Nekich_____2210811609460001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Derrick_Jamie_Nekich_____2210811609460001851.jpg,Derrick_Jamie_Nekich,2210811609460001851.jpg,Jamie Derrick,JamieDerrick,Derrick,Jamie,Nekich,
Devezer_Berna_____2210813626960001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Devezer_Berna_____2210813626960001851.jpg,Devezer_Berna,2210813626960001851.jpg,Berna Devezer,Berna Devezer,Devezer,Berna,,
Dezzani_Raymond_J_____2210811880340001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dezzani_Raymond_J_____2210811880340001851.jpg,Dezzani_Raymond_J,2210811880340001851.jpg,Raymond Dezzani,RaymondDezzani,Dezzani,Raymond,J,
Dixon_Raymond_A_____2210813049250001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dixon_Raymond_A_____2210813049250001851.jpg,Dixon_Raymond_A,2210813049250001851.jpg,Raymond Dixon,RaymondDixon,Dixon,Raymond,A,
Dobre_Mariana_____2211031369150001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dobre_Mariana_____2211031369150001851.jpg,Dobre_Mariana,2211031369150001851.jpg,Mariana Dobre,Mariana Dobre,Dobre,Mariana,,
Dong_Hanwen_____2231665107910001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dong_Hanwen_____2231665107910001851.jpg,Dong_Hanwen,2231665107910001851.jpg,Hanwen Dong,Hanwen Dong,Dong,Hanwen,,
Doumit_Matthew_E_____2210813592880001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Doumit_Matthew_E_____2210813592880001851.jpg,Doumit_Matthew_E,2210813592880001851.jpg,Matthew Doumit,MatthewDoumit,Doumit,Matthew,E,
Doumit_Stacey_____2211030751510001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Doumit_Stacey_____2211030751510001851.jpg,Doumit_Stacey,2211030751510001851.jpg,Stacey Doumit,Stacey Doumit,Doumit,Stacey,,
Doyle_Casey_____2210813014330001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Doyle_Casey_____2210813014330001851.jpg,Doyle_Casey,2210813014330001851.jpg,Casey Doyle,Casey Doyle,Doyle,Casey,,
Drake_Thomas_____2211029173100001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Drake_Thomas_____2211029173100001851.jpg,Drake_Thomas,2211029173100001851.jpg,Thomas Drake,Thomas Drake,Drake,Thomas,,
Dreikosen_Jesse_____2214823749870001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dreikosen_Jesse_____2214823749870001851.jpg,Dreikosen_Jesse,2214823749870001851.jpg,Jesse Dreikosen,Jesse Dreikosen,Dreikosen,Jesse,,
Drown_Stephen_____2211028209950001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Drown_Stephen_____2211028209950001851.jpg,Drown_Stephen,2211028209950001851.jpg,Stephen Drown,Stephen Drown,Drown,Stephen,,
Du_Xiaoxue_____2223679597190001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Du_Xiaoxue_____2223679597190001851.jpg,Du_Xiaoxue,2223679597190001851.jpg,Xiaoxue Du,Xiaoxue Du,Du,Xiaoxue,,
Dublin_Merritt_Lynn_____2234637063310001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dublin_Merritt_Lynn_____2234637063310001851.jpg,Dublin_Merritt_Lynn,2234637063310001851.jpg,Merritt Dublin,MerrittDublin,Dublin,Merritt,Lynn,
Duellman_Kasia_M_____2217061683620001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Duellman_Kasia_M_____2217061683620001851.jpg,Duellman_Kasia_M,2217061683620001851.jpg,Kasia Duellman,KasiaDuellman,Duellman,Kasia,M,
Durgesh_Vibhav_____2226721824700001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Durgesh_Vibhav_____2226721824700001851.jpg,Durgesh_Vibhav,2226721824700001851.jpg,Vibhav Durgesh,Vibhav Durgesh,Durgesh,Vibhav,,
Dutto_Andrea_Alberto_____2239779521040001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Dutto_Andrea_Alberto_____2239779521040001851.jpg,Dutto_Andrea_Alberto,2239779521040001851.jpg,Andrea Dutto,AndreaDutto,Dutto,Andrea,Alberto,
Easterbrook_Tyler_John_____2239723137180001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Easterbrook_Tyler_John_____2239723137180001851.jpg,Easterbrook_Tyler_John,2239723137180001851.jpg,Tyler Easterbrook,TylerEasterbrook,Easterbrook,Tyler,John,
Egan_Catherine_A_____2223727568420001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Egan_Catherine_A_____2223727568420001851.jpg,Egan_Catherine_A,2223727568420001851.jpg,Catherine Egan,CatherineEgan,Egan,Catherine,A,
Eichner_Katrina_C_____2226809155060001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Eichner_Katrina_C_____2226809155060001851.jpg,Eichner_Katrina_C,2226809155060001851.jpg,Katrina Eichner,KatrinaEichner,Eichner,Katrina,C,
Eigenbrode_Sanford_D_____2211031481250001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Eigenbrode_Sanford_D_____2211031481250001851.jpg,Eigenbrode_Sanford_D,2211031481250001851.jpg,Sanford Eigenbrode,SanfordEigenbrode,Eigenbrode,Sanford,D,
Eitel_Jan_U_H_____2210811628260001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Eitel_Jan_U_H_____2210811628260001851.jpg,Eitel_Jan_U_H,2210811628260001851.jpg,Jan Eitel,JanEitel,Eitel,Jan,U.H.,
El_Hajj_Hani_____2226142763400001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/El_Hajj_Hani_____2226142763400001851.jpg,El_Hajj_Hani,2226142763400001851.jpg,Hajj El,HajjEl,El,Hajj,Hani,
Ellison_Melinda_J_____2218740336770001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Ellison_Melinda_J_____2218740336770001851.jpg,Ellison_Melinda_J,2218740336770001851.jpg,Melinda Ellison,MelindaEllison,Ellison,Melinda,J,
Ely_Rob_____2210811999150001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Ely_Rob_____2210811999150001851.jpg,Ely_Rob,2210811999150001851.jpg,Rob Ely,Rob Ely,Ely,Rob,,
Engels_Mary_____2210813445090001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Engels_Mary_____2210813445090001851.jpg,Engels_Mary,2210813445090001851.jpg,Mary Engels,Mary Engels,Engels,Mary,,
Erickson_Luke_____2211029607010001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Erickson_Luke_____2211029607010001851.jpg,Erickson_Luke,2211029607010001851.jpg,Luke Erickson,Luke Erickson,Erickson,Luke,,
Etienne_Xiaoli_Liao_____2234797416620001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Etienne_Xiaoli_Liao_____2234797416620001851.jpg,Etienne_Xiaoli_Liao,2234797416620001851.jpg,Xiaoli Etienne,XiaoliEtienne,Etienne,Xiaoli,Liao,
Etienne_Zachariah_____2234376338020001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Etienne_Zachariah_____2234376338020001851.jpg,Etienne_Zachariah,2234376338020001851.jpg,Zachariah Etienne,Zachariah Etienne,Etienne,Zachariah,,
Eveleth_Daniel_M_____2210811611410001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Eveleth_Daniel_M_____2210811611410001851.jpg,Eveleth_Daniel_M,2210811611410001851.jpg,Daniel Eveleth,DanielEveleth,Eveleth,Daniel,M,
Fairley_Jerry_P_____2211030823480001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fairley_Jerry_P_____2211030823480001851.jpg,Fairley_Jerry_P,2211030823480001851.jpg,Jerry Fairley,JerryFairley,Fairley,Jerry,P,
Falcon-Brindis_Armando_____2241381339120001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Falcon-Brindis_Armando_____2241381339120001851.jpg,Falcon-Brindis_Armando,2241381339120001851.jpg,Armando Falcon-Brindis,Armando Falcon-Brindis,Falcon-Brindis,Armando,,
Falcy_Matt_____2233634696700001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Falcy_Matt_____2233634696700001851.jpg,Falcy_Matt,2233634696700001851.jpg,Matt Falcy,Matt Falcy,Falcy,Matt,,
Fiedler_Fritz_____2210811621370001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fiedler_Fritz_____2210811621370001851.jpg,Fiedler_Fritz,2210811621370001851.jpg,Fritz Fiedler,Fritz Fiedler,Fiedler,Fritz,,
Fisher_Matthew_P_____2237834200690001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fisher_Matthew_P_____2237834200690001851.jpg,Fisher_Matthew_P,2237834200690001851.jpg,Matthew Fisher,MatthewFisher,Fisher,Matthew,P,
Fitzsimons_Daniel_P_____2231383765750001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fitzsimons_Daniel_P_____2231383765750001851.jpg,Fitzsimons_Daniel_P,2231383765750001851.jpg,Daniel Fitzsimons,DanielFitzsimons,Fitzsimons,Daniel,P,
Foard_Meghan_____2213141804380001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Foard_Meghan_____2213141804380001851.jpg,Foard_Meghan,2213141804380001851.jpg,Meghan Foard,Meghan Foard,Foard,Meghan,,
Fodor_Julie_____2210812447670001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fodor_Julie_____2210812447670001851.jpg,Fodor_Julie,2210812447670001851.jpg,Julie Fodor,Julie Fodor,Fodor,Julie,,
Folwell_Annette_____2210811768530001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Folwell_Annette_____2210811768530001851.jpg,Folwell_Annette,2210811768530001851.jpg,Annette Folwell,Annette Folwell,Folwell,Annette,,
Forney_Larry_J_____2210811787930001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Forney_Larry_J_____2210811787930001851.jpg,Forney_Larry_J,2210811787930001851.jpg,Larry Forney,LarryForney,Forney,Larry,J,
Fortunato_Elizabeth_A_____2210811684180001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fortunato_Elizabeth_A_____2210811684180001851.jpg,Fortunato_Elizabeth_A,2210811684180001851.jpg,Elizabeth Fortunato,ElizabethFortunato,Fortunato,Elizabeth,A,
Fowler_Brian_____2234786502550001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fowler_Brian_____2234786502550001851.jpg,Fowler_Brian,2234786502550001851.jpg,Brian Fowler,Brian Fowler,Fowler,Brian,,
Fox-Amato_Matthew_____2219469890960001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fox-Amato_Matthew_____2219469890960001851.jpg,Fox-Amato_Matthew,2219469890960001851.jpg,Matthew Fox-Amato,Matthew Fox-Amato,Fox-Amato,Matthew,,
Franklin_Cortney_Ann_____2239700819530001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Franklin_Cortney_Ann_____2239700819530001851.jpg,Franklin_Cortney_Ann,2239700819530001851.jpg,Cortney Franklin,CortneyFranklin,Franklin,Cortney,Ann,
Freeman_Sydney_____2214879643950001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Freeman_Sydney_____2214879643950001851.jpg,Freeman_Sydney,2214879643950001851.jpg,Sydney Freeman,Sydney Freeman,Freeman,Sydney,,
French_Benjamin_Mackenzie_____2239693459050001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/French_Benjamin_Mackenzie_____2239693459050001851.jpg,French_Benjamin_Mackenzie,2239693459050001851.jpg,Benjamin French,BenjaminFrench,French,Benjamin,Mackenzie,
Frenzel_James_F_____2210812572940001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Frenzel_James_F_____2210812572940001851.jpg,Frenzel_James_F,2210812572940001851.jpg,James Frenzel,JamesFrenzel,Frenzel,James,F,
Frenzel_Karen_____2210818903470001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Frenzel_Karen_____2210818903470001851.jpg,Frenzel_Karen,2210818903470001851.jpg,Karen Frenzel,Karen Frenzel,Frenzel,Karen,,
Fu_Audrey_Qiuyan_____2215445590110001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Fu_Audrey_Qiuyan_____2215445590110001851.jpg,Fu_Audrey_Qiuyan,2215445590110001851.jpg,Audrey Fu,AudreyFu,Fu,Audrey,Qiuyan,
Gao_Frank______2210811620480001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gao_Frank______2210811620480001851.jpg,Gao_Frank,_2210811620480001851.jpg,Frank Gao,Frank Gao,Gao,Frank,,
Garrison_Leonard_____2210811898130001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Garrison_Leonard_____2210811898130001851.jpg,Garrison_Leonard,2210811898130001851.jpg,Leonard Garrison,Leonard Garrison,Garrison,Leonard,,
Gauthier_Jean-Marc_____2219490980490001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gauthier_Jean-Marc_____2219490980490001851.jpg,Gauthier_Jean-Marc,2219490980490001851.jpg,Jean-Marc Gauthier,Jean-Marc Gauthier,Gauthier,Jean-Marc,,
Gessler_Paul_E_____2211031848080001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gessler_Paul_E_____2211031848080001851.jpg,Gessler_Paul_E,2211031848080001851.jpg,Paul Gessler,PaulGessler,Gessler,Paul,E,
Gilbert_Laurel_____2210811898390001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gilbert_Laurel_____2210811898390001851.jpg,Gilbert_Laurel,2210811898390001851.jpg,Laurel Gilbert,Laurel Gilbert,Gilbert,Laurel,,
Gillespie_Ryan_____2211029083960001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gillespie_Ryan_____2211029083960001851.jpg,Gillespie_Ryan,2211029083960001851.jpg,Ryan Gillespie,Ryan Gillespie,Gillespie,Ryan,,
Glaze_James_Benton_____2210811667800001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Glaze_James_Benton_____2210811667800001851.jpg,Glaze_James_Benton,2210811667800001851.jpg,James Glaze,JamesGlaze,Glaze,James,Benton,
Godfrey_Bruce_____2210811650310001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Godfrey_Bruce_____2210811650310001851.jpg,Godfrey_Bruce,2210811650310001851.jpg,Bruce Godfrey,Bruce Godfrey,Godfrey,Bruce,,
Goebel_Charles_____2224111426640001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Goebel_Charles_____2224111426640001851.jpg,Goebel_Charles,2224111426640001851.jpg,Charles Goebel,Charles Goebel,Goebel,Charles,,
Gordon_Stefan_____2237190100560001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gordon_Stefan_____2237190100560001851.jpg,Gordon_Stefan,2237190100560001851.jpg,Stefan Gordon,Stefan Gordon,Gordon,Stefan,,
Gottwald_Dave_____2219491061240001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gottwald_Dave_____2219491061240001851.jpg,Gottwald_Dave,2219491061240001851.jpg,Dave Gottwald,Dave Gottwald,Gottwald,Dave,,
Graden_Dale_____2210811585600001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Graden_Dale_____2210811585600001851.jpg,Graden_Dale,2210811585600001851.jpg,Dale Graden,Dale Graden,Graden,Dale,,
Grieb_Terrance_____2210811613140001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Grieb_Terrance_____2210811613140001851.jpg,Grieb_Terrance,2210811613140001851.jpg,Terrance Grieb,Terrance Grieb,Grieb,Terrance,,
Griebel-Thompson_Adrianne_K_____2239723072380001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Griebel-Thompson_Adrianne_K_____2239723072380001851.jpg,Griebel-Thompson_Adrianne_K,2239723072380001851.jpg,Adrianne Griebel-Thompson,AdrianneGriebel-Thompson,Griebel-Thompson,Adrianne,K,
Grieshaber_Nicole_A_____2212142291460001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Grieshaber_Nicole_A_____2212142291460001851.jpg,Grieshaber_Nicole_A,2212142291460001851.jpg,Nicole Grieshaber,NicoleGrieshaber,Grieshaber,Nicole,A,
Grieshaber_Scott_S_____2211622244000001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Grieshaber_Scott_S_____2211622244000001851.jpg,Grieshaber_Scott_S,2211622244000001851.jpg,Scott Grieshaber,ScottGrieshaber,Grieshaber,Scott,S,
Grindal_Matthew_____2223811456300001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Grindal_Matthew_____2223811456300001851.jpg,Grindal_Matthew,2223811456300001851.jpg,Matthew Grindal,Matthew Grindal,Grindal,Matthew,,
Grindley_Emma_____2210812057220001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Grindley_Emma_____2210812057220001851.jpg,Grindley_Emma,2210812057220001851.jpg,Emma Grindley,Emma Grindley,Grindley,Emma,,
Gross_Jordan_____2239695494640001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gross_Jordan_____2239695494640001851.jpg,Gross_Jordan,2239695494640001851.jpg,Jordan Gross,Jordan Gross,Gross,Jordan,,
Groza_Mark_____2237069034760001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Groza_Mark_____2237069034760001851.jpg,Groza_Mark,2237069034760001851.jpg,Mark Groza,Mark Groza,Groza,Mark,,
Groza_Mya_Pronschinske_____2237068953650001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Groza_Mya_Pronschinske_____2237068953650001851.jpg,Groza_Mya_Pronschinske,2237068953650001851.jpg,Mya Groza,MyaGroza,Groza,Mya,Pronschinske,
Gruber_Godfrey_Laura_K_____2215402950980001851.jpg,https://lib.uidaho.edu/media/verso/profile-pic/Gruber_Godfrey_Laura_K_____2215402950980001851.jpg,Gruber_Godfrey_Laura_K,2215402950980001851.jpg,Laura Gruber-Godfrey,LauraGruber-Godfrey,Gruber-Godfrey,Laura,K,
